,endTime,artistName,trackName,msPlayed
395,2019-09-03 21:06,Avril Lavigne,Complicated,190185
396,2019-09-03 21:09,blackbear,hot girl bummer,185093
397,2019-09-03 21:09,Avril Lavigne,Complicated,1013
398,2019-09-03 21:09,Alabama Shakes,Hang Loose,3181
399,2019-09-03 21:11,Bazzi,No Way!,112105
400,2019-09-03 21:13,Modern Baseball,Broken Cash Machine,109633
401,2019-09-03 22:34,Fall Out Boy,"It's Hard To Say ""I Do"", When I Don't",66480
402,2019-09-03 22:38,Vitamin String Quartet,"Sugar, We're Goin' Down",247133
403,2019-09-03 23:14,Vitamin String Quartet,Homesick At Space Camp,194489
404,2019-09-03 23:17,Vitamin String Quartet,Of All The Gin Joints In All The World,203533
405,2019-09-03 23:22,Vitamin String Quartet,Chicago Is So Two Years Ago,256880
406,2019-09-03 23:26,Vitamin String Quartet,Grand Theft Autumn/ Where Is Your Boy,238280
407,2019-09-04 03:57,Vitamin String Quartet,Radiation Boy,36740
408,2019-09-04 03:57,Quinn XCII,Stacy - Acoustic,3297
409,2019-09-04 04:46,Post Malone,Wow.,3808
410,2019-09-04 04:46,Avril Lavigne,What the Hell,1625
411,2019-09-04 04:46,Avril Lavigne,What the Hell,2647
412,2019-09-04 04:46,Post Malone,Over Now,10321
413,2019-09-04 14:18,Post Malone,Psycho (feat. Ty Dolla $ign),221440
414,2019-09-04 14:26,Post Malone,Psycho (feat. Ty Dolla $ign),1408
415,2019-09-04 14:28,Quinn XCII,Always Been You,130133
416,2019-09-04 14:29,The Summer Set,Chelsea,832
417,2019-09-04 14:29,Car Seat Headrest,Fill in the Blank,981
418,2019-09-04 14:29,McCafferty,Loser.,832
419,2019-09-04 14:29,Vampire Weekend,Horchata,746
420,2019-09-04 14:29,One Direction,What Makes You Beautiful,67349
421,2019-09-04 14:29,Post Malone,Congratulations,2414
422,2019-09-04 14:32,The Wrecks,I Don't Like You,145600
423,2019-09-04 14:34,Fall Out Boy,City In A Garden,88396
424,2019-09-04 14:35,Post Malone,Psycho (feat. Ty Dolla $ign),32405
425,2019-09-04 14:35,Post Malone,Over Now,853
426,2019-09-04 14:39,Post Malone,Psycho (feat. Ty Dolla $ign),221440
427,2019-09-04 14:43,Mainland,Outcast,230120
